prompt,completion
" Lily: You slept with Randy!
"," Robin: What?!
"
" Lily: Your co-host is getting super-popular because of her stupid commercial, ""Boats! Boats! Boats!"" So, when you arrived at the GNB party after we left, you were feeling vulnerable and drunk. Then, from across the not-so-crowded conference room, your eyes met. And as we all remember... Randy has a unique condition.
"," Robin: Yeah, your nose is bleeding like a faucet.
"
" [END OF FLASHBACK]
"," Robin: That's...exactly what happened.
"
" Lily: Yeah.
"," Robin: Hey, guys.
"
" Lily: Robin, who'd you sleep with?
"," Robin: I told you-- Randy. He was a machine.
"
" Lily: Where's the poop, Robin?
"," Robin: Fine. I didn't sleep with anyone. The thing is, ever since Becky did that commercial, everyone at work loves her. So, the day after Halloween, I was in a commercial.
"
" Announcer: Bladder trouble; it's embarrassing, it's uncomfortable, and it can affect anyone.
"," Robin: I'm going to the bathroom right now.
"
" Announcer: Neat and discreet adult diapers for anyone.
"," Robin: Say... ""Ah...""
"
" Ted: Wow! I can't wait to see it.
"," Robin: Well, hopefully you never will. They said that they might not even use it.
"
" Barney: It's unfortunate!
"," Robin: Disgusted!
"
" Karen: They are real diamonds?
"," Robin: Yes. Yes, absolutely. Thank you.
"
" Karen: I did not say that I loved.
"," Robin: I got a great deal...
"
" Karen part.
"," Robin: They need a finger to do what I think.
"
" Marshall: For us, Karen is an idiot. For him, this is the first to have touched his pen1s in hand himself, his mother and pediatrician.
"," Robin: It's almost 2am. I must work.
"
" Lily: How can they call it a ""daily""? 4h, it's still the middle of the night. You impressed me.
"," Robin: It's been almost a month. I'm used to. And then the show is not bad, right?
"
" Barney: I've never seen.
"," Robin: You've ever watched?
"
" Barney: I've never seen.
"," Robin: Your favorite item?
"
" Barney: I've never seen.
"," Robin: Have you ever looked.
"
" Barney: I just said.
"," Robin: I know, this is basic and bland, and it is smaller audiences than the Korean channel that does that Kim Jong Il by the horse. But, friends, it would touch me to know that at least once you look.
"
" Marshall: You know what? This Friday, everyone will come home at 3:30. We leave the pajamas and watch his show.
"," Robin: You're the best.
"
" The show starts Robin.
"," Robin: Hello, New York. I'm Robin...
"
" Barney: My God, what has happened?
"," Robin: You have not seen the show?
"
" Barney: The show! Sorry. It happened something?
"," Robin: The routine.
"
" Ted: Lily has just told us it made us break.
"," Robin: What? We do break? What does that mean? And why they wear a night gown?
"
" Ted: Where do you see yourself in five years?
"," Robin: And you?
"
" Lily: You would surely be in Tokyo or Paris.
"," Robin: I would surely be in Argentina.
"
" Ted: In Argentina?
"," Robin: Or Tokyo, or Paris.
"
" End flashback
"," Robin: My God.
"
" Marshall: Come, let's check.
"," Robin: So, without you we would come out still together?
"
" Lily: Or you'd been together too long, and would have had an incredibly bitter break without even remain friends, and we would never become best friends.
"," Robin: Do not say that.
"
" Lily: It is what happened to your jacket?
"," Robin: Soot, breadcrumbs, placenta. You have not even registered?
"
" Ted: I realized that no matter what my friends think of my girlfriend, but it really matters what my girlfriend thinks of my friends.
"," Robin: So, it's over?
"
" Ted: Yes. If you wanna be my guest, Lily is a sacred stove.
"," Robin: beef pie, macaroni and cheese, butter cookie house.
"
" Ted: Normal Marshall dies at age 68.
"," Robin: Thank you.
"
" Ted (2030): And with Robin, we're treated to a gourmet dinner.For her breakfast. And we ended up doing exactly what Lily wanted us to do: talk about our relationship.
"," Robin: Basically, Lily made us break.
"
" Ted: It makes you wonder.
"," Robin: If it had not been there, we always go out together?
"
" Ted: Maybe. She was right. We were not ready. We needed to move forward, we do our stuff. It is always the case.
"," Robin: We should make a pact. If the years pass and only 40 years old, one is always alone...
"
" Ted: Will you be my wife back?
"," Robin: A girl dreams of hearing those words. A million times, yes!
"
" Ted: Okay, that's it. Do we must etablire rules?
"," Robin: Genre?
"
" Ted: I know. As not to become huge, that sort of thing.
"," Robin: Just one thing: no nightgown.
"
" Barney: Invitations for the demolition of The Arcadian. As head of the project, I get to decide how we knock it down. I'm torn between training an actual coyote to use an ACME dynamite plunger, or hooking up a fuse to Eddie Van Halen's guitar that goes off the second he hits the last note to ""Hot For Teacher."" Barney! Barney! Bar... No, no. I'm going to go coyote.
"," Robin: Wait. While no one wants to see a, uh, coyote wearing a little hard hat more than me, remember: Zoey's protest could still shut your whole project down.
"
" [OPENING CREDITS]
"," Robin: Wait, Marshall's helping you save The Arcadian, now.
"
" Lily: Can you believe this one? Wants our booth. Keeps giving us the walk-by.
"," Robin: That bitch is not giving us the walk-by.
"
" Lily: Oh, boy. Look who's back.
"," Robin: Look, Lily, I think this girl wants our seats. Should we leave... or stay here Lionel Richie style ""All Night Long""?
"
" Carl: Okay, enough! You guys are out of here.
"," Robin: Ejected!
"
" Carl: I meant all of you. You're all banned from the bar. Out!
"," Robin: Carl! Oh... This has nothing to do with us. You're totally ridiculous. (The girls stand up and leave the booth; the other girl sits down at their booth) Don't look, baby. Just don't look. Come on.
"
" Lily: This stupid feud isn't going to end until Marshall and Barney finally talk about their feelings, cry, and then hug it out like they do on Oprah.
"," Robin: Man, what are we going to do without her?
"
" Lily: Oh...
"," Robin: Wait, you know what, these guys are not going to get all mushy sober. We need to get these bitches drunk.
"
" Lily: Yes, but the right kind of drunk. Uh... we should go with something mellow. Maybe red wine?
"," Robin: Oh, I don't know. Red wine has kind of an odd effect on Barney. He reaches a point of sad clarity.
"
" [END OF FLASHBACK]
"," Robin: If we want them to open up, I say we go straight-up gin.
"
" Lily: How about martinis?
"," Robin: Absolutely not. I'm not going anywhere near you and a martini.
"
" [END OF FLASHBACK]
"," Robin: Every time.
"
" Lily: I only say that because it would be so stupid if we did. So stupid...
"," Robin: Uh-huh.
"
" Marshall: I don't know. We could have water, soda, purple stuff...
"," Robin: We're a dream a baby's having. We're a dream a baby's having.
"
" Lily: I keep telling you, that didn't happen.
"," Robin: It happened, and it changed me. How about daiquiris?
"
" Lily: Peppermint schnapps?
"," Robin: No. Peppermint schnapps turns Barney into Richard Dawson.
"
" Lily: Who?
"," Robin: The crazy old host of Family Feud, who greeted women by kissing them on the mouth.
"
" Ted: You had to take that away from me, didn't you? (He takes a bottle of Bourbon out of his bag and put it on the table)
"," Robin: Well, enjoy Martha's Vineyard. Hopefully by the time you get back, we'll be allowed back into MacLaren's.
"
" Lily: Barney and Marshall's feud got us banned from the bar. We lost our booth.
"," Robin: Stop.
"
" Lily: We've cross-referenced every alcohol with Marshall and Barney's reaction. What's the right drink for this situation?
"," Robin: Well, they're not talking. They're not even looking at each other. That reminds me of those awkward Sunday dinners with my mom, my dad and his mistress. Families, right?
"
" At the bar
"," Robin: Okay, now we need to get them something that will make them emotionally vulnerable and completely, pathetically honest.
"
" Barney: That's what everyone keeps saying but people just keep leaving me.
"," Robin: Wow. That got real o'clock.
"
" A black screen with the word ""Daiquiris"" at the center appears.
"," Robin: Dance, my puppets, dance!
"
" Lily: Now do you see why I'm always interfering in other people's lives?
"," Robin: Oh, God, totally!
"
" Lily: Okay. Final round. What simple act will get the boys to finally forgive each other?
"," Robin: Sharing a brandy. Which is what I walked in on my parents doing once. Brandy was my father's mistress. God, parents. Right?
"
" Lily: Again, just a whole other thing, sweetie. Where'd they go? Oh, no. They did shots.
"," Robin: What? What is it?
"
" Carl: Come on in, you're un-banned. I gave these guys some drinks and they calmed down and made up.
"," Robin: Well, what drink finally did the trick?
"
" Lily: Be well, my friends! Aw, just how we left them.
"," Robin: Morning. Who wants breakfast?
"
" Lily: I thought they made up last night.
"," Robin: Damn it, I know what happened.
"
" Lily: Ooh! The champagne.
"," Robin: We gave them one drink too many. They must've blacked out and forgotten the whole thing.
"
" Barney: Whoa, whoa, you have got to be kidding me. Ted...
"," Robin: Okay, what drink can fix this?
"
" Lily: Mama's done with this drama. What drink can fix the headache these clowns are giving me?
"," Robin: I got it.
"
" Robin and Lily are floating in the air
"," Robin: Right?
"
" Ted: I see it. I see it. (Robin enters) What is it good?
"," Robin: All-Nighter?
"
" Ted: I told them I had a vision for this thing. They want a drawing in a week and I have nothing!
"," Robin: It's cute.
"
" Ted: Cute? I can draw concert halls and bridges. Bridges so beautiful they could be in museums. And I could draw these museums. But I draw, what instead? Where is my career? A two-story Stetson... with a terrace on the edge. It's a cosmic joke. The universe conspires against me.
"," Robin: Did you just need to get out. Take a walk. Pay yourself a bagel.
"
" Ted: Yeah, that'll solve everything. I have not slept for 34 hours, but a bagel is the answer. Cinnamon and raisin bagel with some cream. It looks good. I'll buy one.
"," Robin: Take an umbrella. It's going to rain, according Galoshes, our clown-weather.
"
" Ted: Your show has a clown to present the weather? It's a bit nase, right?
"," Robin: And this restaurant that you draw, what form it, Hoss?
"
" Ted (2030): For example, when leaving the apartment, I almost go right instead of left. Why not right? For that, we must go back. As you know, your Aunt Robin had a show.
"," Robin: Eunice is itself these handbags. They are hand-embroidered silks at best. And each takes months to do. I can not say how long... (Robin threw in a bag) Weather, fools!
"
" Ted and Robin are in the apartment.
"," Robin: On the other hand, I bought a big bag today.
"
" Ted: Wait, why did you vomit?
"," Robin: You want to know.
"
" Ted: Come on. Tell me.
"," Robin: I'm pregnant.
"
" Ted: I will raise this child with you. You're not alone. You can get married if you want, but I want to see other girls, it would be one of those marriages...
"," Robin: Stop! I'm not pregnant. This is an intoxication. I ate something at the restaurant, three hours later, I vomited like a fountain.
"
" Ted: Where?
"," Robin: This is a disgusting issue.
"
" Ted: Where was your meal?
"," Robin: I want to tell you.
"
" Barney, entering: Go to YouTube. Tape ""Robin Scherbatsky show vomit"". Robin, already gone.
"," Robin: Someone has already put on YouTube?
"
" Barney: Yeah... someone. So... why did you vomit? You're pregnant?
"," Robin: Yeah, I'm pregnant.
"
" Ted: Why do you not tell me where you got your intoxication?
"," Robin: You adore this place. If I tell you, it will ruin it.
"
" Ted: This Indian restaurant where the cat jumps on the tables?
"," Robin: I say nothing.
"
" Ted: The Spanish restaurant with the cradle?
"," Robin: I say nothing.
"
" Ted: Is it here? Tell me!
"," Robin: You really want to know? This is Schlegel's Bagels.
"
" Barney: I will... the call.
"," Robin: You have noted Gaby Allan dual, 78 and 162.
"
" Ted: Where did Barney? It's been over an hour.
"," Robin: You know, looking at the names on this list, I do not see a lot of ethnic diversity. It should really be questioned.
"
" Barney: Every inch tasted like roast beef and creatine. But I did. I did and I still have 30 minutes before meeting with Petra.Robin, you have the foundation? I want to cover bruises and razor burn.
"," Robin: I hate to tell you this, but...
"
" Barney: What?
"," Robin: You did the right Gaby Allan counted 2 times, but...you're also spent 138 to 138. Have you used the same number twice.
"
" Marshall: We'll have fun. (At the bar...) I ranked the presidents in order of disloyalty. A: Johnson. Two: Bush. Three Harding.Four: Polk. (At the apartment...) This circle represents ""Those who break my heart."" And this circle represents ""Those who constantly undermine my confidence. ""And where they meet: Cecilia. (Back at the bar...) This is a pie chart describing my favorite bars. And that is a graph describing my favorite pies.(Ted, Barney and Robin Marshall waiting for a response) What is it?
"," Robin: That's enough tables.
"
" At MacLaren's.
"," Robin: Alright, see you guys later.
"
" Robin reaches her apartment. Lily is on her landing.
"," Robin: Lily.
"
" Ted from 2030: None of us had seen Lily in three months. There were so many unanswered questions, so many things to say.
"," Robin: Your hair is adorable!
"
" At the apartment, Robin arrives.
"," Robin: You've gotta hear this.
"
" Ted: You will not believe what just happened.
"," Robin: You go first.
"
" Ted: I find a 1939 penny on the subway. Just imagine the history this little copper guy's seen...
"," Robin: Lily is back in town.
"
" Ted: And you let me go first?! Have you seen her?
"," Robin: Uh, yeah. I actually went apartment hunting with her today.
"
" Ted: How is she doing?
"," Robin: You're not gonna like it.
"
" In New-York.
"," Robin: Wow, I am so happy for you.
"
" Ted: Oh, she's such a... godda... God! After what she did to Marshall, she should come back here devastated. Crawling over the broken glass of her own shame and regret.
"," Robin: You never chose sides. I respect that.
"
" Ted: Uh, listen Marshall...
"," Robin: Ted found a penny on the subway and it's old and that's interesting.
"
" Ted: OK, first of all, that is interesting. Second, we have to tell him.
"," Robin: No, we don't. He's just starting to get better. Going out with Barney. How do you think he'll feel when he hears Lily's moved on?
"
" Ted: She's moved on?
"," Robin: Well, it happens. I've fallen out of love faster than that before. Sometimes, boom, with no warning whatsoever. One day we're in love, the next day, he's dead to me. But we're great! Honey?
"
" (She leaves.)
"," Robin: What?
"
" Ted: She's miserable. She's realized she's made a huge mistake. Her and Marshall will be back together in a week, I love it!
"," Robin: No, you just want Lily to be miserable. The truth is she's happy.
"
" Ted: Trust me. I've known Lily for nine years.
"," Robin: Trust me, I'm a girl!
"
" Ted: Yeah. But you're Canadian.
"," Robin: Why do you always have to bring that up?
"
" Ted: You're our weird neighbors!
"," Robin: You bring it up every time...
"
" Ted: No, alright. Five bucks says she still wants Marshall.
"," Robin: You're on.
"
" Ted: Five American bucks.
"," Robin: Dammit! OK, so how do we get the truth out of her?
"
" Ted: Interesting. Wow Lily, you, uh, seem to be having a pretty strong reaction to losing this apartment. I wonder is it because it reminds you of something you lost because you couldn't commit?
"," Robin: No, Lily you're crying over the crown moulding and the real hardwood floor. There's no deeper meaning, right Lily? Just quit crying and tell him.
"
" Ted: Surprise me.
"," Robin: I'd take you with gravy if my boyfriend wasn't sitting right here! Just kidding. I'm good.
"
" Ted: She's still drunk from last night.
"," Robin: I don't think so! Whoo!
"
" [FLASHBACK, Robin and Lily visit an apartment]
"," Robin: But it's good, I mean work's great...
"
" Marshall: Nice.
"," Robin: I have a message from Barney.
"
" Lily: All right, what's the message? 'Cause if it's another hypothetical yet eerily accurate drawing of my boobs...
"," Robin: Yeah, I have that, too.
"
" Lily: Damn it.
"," Robin: All right, here's the message. (clears throat, then reads Barney's note) ""Oh, hey, guys. Didn't see you there. I was too busy feelin' fine and..."" Really? ""Feelin' fine and gettin' some 'jine. You may have noticed the giant plate of hot wings in front of me. I know how much you love hot wings. Too bad someone bribed the kitchen to take them off the menu tonight. So, if you want some, you're going to have to come back to GNB. But hurry, this offer will be gone lickety-split. (Barney licks his hot wings peace by peace then throws them down) Do evil laugh."" Oh, um... (makes a poor impression of Barney's laugh) So, what are you turds up to?
"
" [END OF FLASHBACK]
"," Robin: Um... thank you for, um, not using a first name in that story.
"
" Barney: Can you believe that?! I can't be unemployed, Robin! My job is my identity; It's who I am. It gives me the confidence I need to convince girls I'm a fighter pilot.
"," Robin: I-I don't understand. Why would he fire you?
"
" Marshall: He has a lot of keys.
"," Robin: Okay, Ted, can you just please think about this before you...
"
" Ted: There's nothing to think about. I-I can't lose Zoey. That's the only thing that matters to me right now.
"," Robin: Okay, Ted... you know I love Zoey. But, look, sometimes... I go play chess in the park. And the key to chess... Okay, I play online. But the key to chess... Okay, it's Angry Birds! But the key to Angry Birds is to always try to see every possible outcome. And to... hit some pigs with rocks or something. I don't know; I don't play. I can't get it to download. The point is, this thing with you and Zoey? I can see it going three possible ways. There's the first scenario.
"
" [ROBIN'S FIRST SCENARIO]
"," Robin: The chairman asks you...
"
" Chairman: Do you think The Arcadian should be a landmark?
"," Robin: You say...
"
" Ted: No.
"," Robin: And Zoey dumps you on the spot.
"
" [END OF ROBIN'S FIRST SCENARIO]
"," Robin: There's the second scenario.
"
" [ROBIN'S SECOND SCENARIO]
"," Robin: The chairman asks you...
"
" Chairman: Do you think The Arcadian should be a landmark?
"," Robin: You say...
"
" Ted: Yes
"," Robin: And you're happy for, like, a second, until you realize the building you helped save has just become a monument to everything this woman made you give up, and you resent her for it, so much so, in fact, that you dump her.
"
" Ted: You said there was a third scenario.
"," Robin: Right.
"
" [ROBIN'S THIRD SCENARIO]
"," Robin: The chairman asks you...
"
" Chairman: Do you think The Arcadian should be a landmark?
"," Robin: But before you can answer...You're hit in the neck with a blow dart fired by the ninja Zoey's ex-husband hired to assassinate you.
"
" [END OF ROBIN'S THIRD SCENARIO]
"," Robin: That one's less likely. What I'm saying... what I hate saying... is this. You and Zoey are gonna break up. But you can still save your career and Barney's.
"
" Lily: I mean, yes, this is a huge, divisive issue for them. Which means no matter what happens, there's gonna be a lot of resentment. Probably lasting for years... infecting every single moment of the rest of their relationship. So, in conclusion, I'm with Robin on this.
"," Robin: Thank you.
"
" Ted: This is a nightmare. I can't believe she kept that tape. The LPC's gonna come back with a decision tomorrow, and based on today...
"," Robin: They're gonna landmark the hell out of that place.
"
" Marshall: We should absolutely totally buy a bar!
"," Robin: It's really the only sensible idea right now.
"
" Barney: The only court where you show up, then get served.
"," Robin: Ho! You're judged by a jury of your beers.
"
" Barney: Hey, Arthur!
"," Robin: Oh, cute dog!
"
" Marshall repaired the radiator to Ted's apartment, in front of Robin.
"," Robin: Thanks for stopping by. I hacked the thermostat for 1 h before it was seen that the intercom.
"
" Marshall: Yeah, I heard you moan from below.
"," Robin: The theft of Lily's tonight, you're really not looking for it?
"
" Marshall: As I said, when you grow up, our relationship matures with us.
"," Robin: Knowing your wife, she'll still bring you back a pack.
"
" He lifts his shirt and Lily goes with him.
"," Robin: What are you doing?
"
" Robin and Marshall drive to the airport.
"," Robin: I always find it silly. What happened to ""when you grow up, the relationship matures with us""?
"
" Marshall: It's just something Lily read in ""Psychology."" It's good, she read in ""Cosmo"". Okay, I read in ""Cosmo"". Well, it was in ""Cosmo Girl"". Drive, OK?
"," Robin: Why make a fuss a little ritual is abandoned.
"
" Marshall: It's more than that, OK? This is our little rituals. You know what we did when I got home?
"," Robin: I do not wanna hear about f*ck like rabbits.
"
" Marshall: Now, when she calls, I let the answering machine.The answering machine!
"," Robin: How dare you?
"
" End flashback
"," Robin: All of these little rituals, nice, cute... This is stupid. Say what we ate? They look like kids playing in the dinette.
"
" Marshall: Maybe you think it's stupid because you've never had a relationship that lasts long enough for that.
"," Robin: What?
"
" Marshall: You know nothing of love. You're like a robot that someone would cry and say that... ""Why this human leaking?""
"," Robin: Really? Okay... Robot mode station-you-on-the-aisle-in-waiting-for-excuse-of-the imbecile.
"
" Marshall: A snowplow arrives. We must leave.
"," Robin: You think being in love, it's just to have pet names. Or let the words stupid or darken in the blizzard for no reason.
"
" Marshall: You know what will happen?
"," Robin: You know what you are? You're a snob of love. There's lots of ways to live a relationship, you would know if you left your little club ""Snob love.""
"
" Marshall: We'll be buried under the snow, that's what will happen.
"," Robin: Nothing to be done. I will not sit here and insult me.We're not going to the airport. We go. (The snowplow passes and buried under the snow) It's been what?
"
" Marshall: Robin, I'm sorry. You're not a robot. If you are, you are a very advanced model, and the human race has no chance. You did not choose to show your love through rituals tacky, and that's good. But maybe we did that because we have always done and we know no other way. What I know is that if there sitting alone at the airport, I have to go get her.These are the rules.
"," Robin: Close your eyes.
"
" Marshall: I know not how you thought I draguais you, but...
"," Robin: Do it. (Robin opened the roof and the snow falls on them) Now, go find your wife.
"
" Marshall: Where is she?
"," Robin: Seattle.
"
" Marshall: What?
"," Robin: His flight was canceled. He has never taken off.
"
" Robin and Marshall are by car.
"," Robin: I still think it's stupid.
"
" Marshall: It not return until Thursday. It was all the way here and not return until Thursday. I feel stupid. Listen, they say nothing to Lily about everything, OK? Especially the part where thou dredges.
"," Robin: I've not dredged.
"
" Wicka-wicka-wicka-burn.
"," Robin: Ugh! God, this is, like, the fifteenth time my dad has sent me a friend request.
"
" Marshall: I'm serious. Think about it. He always wears black, we never see him in the daylight, only after dark.
"," Robin: Oh my God, that does describe a vampire, or you know, a bartender.
"
" (Everyone but Marshall laughs)
"," Robin: Well, I should go get dressed.
"
" Lily: I'll say, she's going out with a billionaire.
"," Robin: Lily, I told you not to call him that.
"
" Ted: Wait, you're really going out with a billionaire?
"," Robin: He's not a billionaire. He's a hundred millionaire. Why do people always round up?
"
" Ted: So, uh, where's Thurston Howell taking you?
"," Robin: A charity dinner.
"
" Lily: Yeah, $2000 a plate.
"," Robin: $1500, Stop rounding up. And it's for third world hunger.
"
" Lily: I think my soul just threw up a little bit.
"," Robin: Well, I'm gonna be late. You guys have fun. Bye.
"
" (Robin sitting in back of limo dressed up, talking on phone with Ted)
"," Robin: Oh hi Ted.
"
" (Robin on phone)
"," Robin: Hi Ted. Sounds like you're having fun.
"
" (Robin on phone)
"," Robin: Listen, Ted, I can't really talk right... '93? Dude, that's impressive.
"
" (Robin on phone)
"," Robin: That's sweet and odd. But I'm kinda on a date right now.
"
" (Robin on phone)
"," Robin: Bye Ted.
"
" (Robin in car, her phone rings, she answers)
"," Robin: Hello again, Ted.
"
" (Robin on phone)
"," Robin: Ted?
"
" (Robin at dinner, answers phone)
"," Robin: Ted, for the last time, stop.
"
" (Robin hears Ted screaming)
"," Robin: Ted!
"
" (Robin in cab on phone)
"," Robin: Ted, it's Robin.
"
" (screen splits in two with living room scene on top half of screen, Robin in cab on phone on bottom half)
"," Robin: Ted, I think you and I should have a talk about those phone calls last night. Do you mind if I swing by?
"
" Ted: Yeah, sure, come on over.
"," Robin: Thanks.
"
" Ted: Hi.
"," Robin: Hey guys.
"
" Ted: Um, sorry I kept calling you like that. I was very drunk.
"," Robin: No kidding. Those calls were really weird. Look, Ted, maybe we need to talk.
"
" (Ted makes weird sound)
"," Robin: That goes on for three-and a half minutes.
"
" Ted: Without a breath? That's gotta be some kind of record.
"," Robin: Ted, you can't do this. Please, we're to be friends and now you're making it all confusing.
"
" Ted: No I'm not. Look, I just turned off my brain for the night. Nothing's changed, you've moved on, I've moved on.
"," Robin: Really, you moved on?
"
" (Ted points to Robin) Ted: You are gonna laugh.
"," Robin: Wait, you were with someone last night? Ted: Yeah, Trudy, she's cool.
"
" (Ted and Robin enter to find room empty, Robin walks over to pineapple)
"," Robin: Hi Trudy, I'm Robin. It's nice to meet you. You're right, she is shy.
"
" Ted: Whatever, whatever. I don't care what you think.
"," Robin: Then why did you hide her from me? Ted: Wow, you're good. Did anyone ever tell you you should be on 60 Minutes?
"
" Robin: Then why did you hide her from me? Ted: Wow, you're good. Did anyone ever tell you you should be on 60 Minutes?
"," Robin: Yes, you did, last night.
"
" Ted: Really? Well.
"," Robin: Get some sleep, Ted. You had a long night. And don't feel bad, I've woken up with worse.
"
" Lily: A Turturkeykey?
"," Robin: Yeah, I was there for the ""insertion."" He used shoehorns. I'll be having sides.
"
" Ted: What the hell happened here?
"," Robin: Hey! Morning, Blitz!
"
" [END OF FLASHBACK]
"," Robin: Look, none of us meant for it to happen, but, well, we had an awesome night with her.
"
" Ted: No, we hate Zoey! I'm so furious at you all right now, but it's Thanksgiving, and I have a Turturkeykey to make. And not that I'm The Blitz, but could everyone please come with me into the kitchen? (all murmuring) Okay, I'm, uh, just gonna preheat the oven.
"," Robin: The oven.
"
" Ted: It's not awesome!
"," Robin: I think the smaller turkey just tried to crawl further inside the bigger turkey.
"
" Lily: Come on. Give her a chance.
"," Robin: Ted, you violated a dead turkey with another dead turkey. Don't let that be in vain.
"
" Steve: Oh, my goodness. Our cab took a wrong turn. We were in the Thanksgiving Day parade!
"," Robin: Tony Bennett passed Ted the mike and he sang ""Twist and Shout!""
"
" Marshall: No... no, Ted. Random number guy just sent me his wang back.
"," Robin: Wow. You sent a wang out, and you got a wang back.
"
" Lily: It's a boom-a-wang.
"," Robin: Nice.
"
" Lily: Thank you.
"," Robin: No, I meant the wang.
"
" Ted: No, no, no. You guys can't be objective. You still feel guilty about last night.
"," Robin: Well, let's get an outside opinion.
"
" Ted: Who are we gonna...
"," Robin: ""Dear Wang Guy...Can enemies ever be friends? Just wondering.""
"
" Ted: Really? Wang Guy? We're asking Wang Guy?
"," Robin: He's bold and uninhibited, so why not? And guys, you know what? For fun, why don't we ask him what he does for a living? Wouldn't that be fun? Just ask...
"
" Lily: Aww. You've got a little crush on Wang Guy, don't you?
"," Robin: What? No. Shut up. I hate him.
"
" Barney: I'm not any Blitz! You're The Blitz! You're all The Blitz! I slept with that cute Indian girl who cuts my hair!
"," Robin: What does that have to do with anything?
"
" Barney: No list of Murtaugh.
"," Robin: What is the Murtaugh list?
"
" Marshall: ""Riggs. ""I'm too old for this stuff. In fact, it's Lethal Weapon?
"," Robin: I know. It looks pumped. An old cop associated with a young and rebellious. It reminds you of anything? Mackleroy and LaFleur. Do not tell me you have never seen Mackleroy and LaFleur. This is the best action movie of all time Canadian. Mackleroy is a young Mountie whose horse is killed by evil Americans, and LaFleur, his old partner grumpy and Afro-Canadian, just buy a nice fishing shack in northern Alberta...
"
" Lily: Hi, baby. Good workout.
"," Robin: What? It's still one-man band? Because it was crap.
"
" Ted: It works for me. Robin, you do the honors?
"," Robin: An agreement of honor!
"
" Barney: Come on guys, you do it!
"," Robin: Are you sure you want to do that? You know how it is.
"
" Barney: ""To pierce the ear. ""Done. Well, I go to a laundry at my mother. (Barney hand, then returned several hours later) Do you mind if I use your futon?
"," Robin: There is no futon.
"
" Barney: Put it there, guys.
"," Robin: What's the matter?
"
" Barney: It's on the list. ""Landing on the futon with a friend rather than going to the hotel. ""
"," Robin: I'm too old for this stuff.
"
" Barney: No, it's just the raver's hump. I like it. It brings me closer to my glass. A youth! (He can not drink his glass) You should have a straw?
"," Robin: There's a side admirable in its way to remain young.Who wants to be old?
"
" Ted: This guy. Life is a meal and old age, the dessert. I get so many worries about the future. Where will my career? Who will I marry? When you're old, you do not worry, because all this has happened before. You got pumps and a comfortable seat for the stairs. That's perfect.
"," Robin: It's not perfect, it's pathetic. You can not skip to the end.The best thing is the journey.
"
" Barney: Hi, this is Barney.
"," Robin: And Robin.
"
" Barney: We can not answer because...
"," Robin: He watches football and I'm...
"
" Barney: Part shopping. Leave a message, you are reminded...
"," Robin:... soon...
"
" Barney: ""Making an autoresponder message to two annoying.""Done. It will probably cost me a few appointments, but it's okay.
"," Robin: Your ear begins to feel.
"
" Ted: I hate to refuse, but you told me that the turkey was extremely thin, and see for yourself.
"," Robin: Okay. It's good. You have your own list.
"
" Ted: What?
"," Robin: A list of things that you are too young. Do all these things and tell me if you still want to be old.
"
" Barney: Bet held.
"," Robin: An agreement of honor!
"
" Barney: It... ""Helped to move the sixth floor walk against pizza and beer.""
"," Robin: Or you helped steal the sixth floor. They were in a hurry and left the pictures.
"
" Barney: Ted Calls. I want to go.
"," Robin: Okay. I call it. But it is 4:30 am. It will not be awakened.
"
" Barney: It answers?
"," Robin: I have not called yet.
"
" Robin, Barney and Ted return to the apartment.
"," Robin: As a manager, I threw in the towel. This bet is over.Your ear looks like a Danish pastry in a French breakfast.
"
" Ted: It happens. I found these weird Russian beers, in the basement.
"," Robin: The Russian beer? I will take a bierofski. Bierofski. Got it?
"
" She runs on corn.
"," Robin: Totally lady bone killer, but not an eight.
"
" ♪ All through the town. ♪
"," Robin: What?
"
" This is the most we've seen you two in five months.
"," Robin: You don't seem to care what's going on in our lives unless it's an eight or higher.
"
" Marshall: Well, I received another.
"," Robin: What's there in the box? What there was in the boiiite?What there was in the boiiiiiite?! What there was in the boiiiiiiite?! Not bad eh? Nothing. I'm the idiot huh? What there was in the box?
"
" Ted: I arrived!
"," Robin: What's happening? What is this window?
"
" Ted: You see how everyone knows a person, and whatever happens, this person is perfect for you.
"," Robin: My cats.
"
" Marshall: This is my overalls. I wore this little baby, during high school.
"," Robin: Hey, you were really a virgin before he met Lily.
"
" Barney: No way, no one could sleep while wearing it. Challenge accepted. I, Barney Stinson, brilliant mind in an extraordinary body, this will overalls, and lie with a woman.
"," Robin: I went out with this guy.
"
" Ted: Ok, game plan Maggie arrives, a few minutes of gathering and presentation, and everyone leaves us. This is my only chance, and I will not go wrong.
"," Robin: You do not give a lecture tonight?
"
" Maggie: Nice to meet you.
"," Robin: Likewise.
"
" Barney arrives at the bar with the overalls of Marshall.
"," Robin: Your challenge not interest me but you're cheating. Wear a suit under the overalls.
"
" Barney: No. They are called not on the shirt, or on t-shirts for wholesale repairing the car and my mother spent some time with her top. They are called overalls, and I can relate to what I want.
"," Robin: Oh it does not tell you goodnight, he tells you how he feeds his horses. I could sit there and tell jokes Farmer on you all night. Challenge accepted.
"
" Barney: I offer you a drink?
"," Robin: It was a big tractor 3-axis.
"
" Ted: You're left with Maggie Robin?
"," Robin: Relax, everything is under control.
"
